country,iso3,components,currency,start_date_observations,end_date_observations,number_of_markets_modeled,number_of_markets_covered,number_of_food_items,number_of_observations_food,number_of_observations_other,data_coverage_food,data_coverage_previous_12_months_food,total_food_price_increase_since_start_date,average_annualized_food_inflation,maximum_food_drawdown,average_annualized_food_volatility,average_monthly_food_price_correlation_between_markets,average_annual_food_price_correlation_between_markets,Rsquared_individual_food_items,Rsquared_individual_other_items,index_confidence_score,imputation_model
Afghanistan,AFG,"Bread (1 KG, Index Weight = 1), Rice (Low Quality) (1 KG, Index Weight = 1), Wheat (1 KG, Index Weight = 1)",AFN,Jan 2007,Apr 2023,40,40,3,"bread: 2147, rice: 2533, wheat: 2521","exchange_rate: 1780, fuel_diesel: 1790, wage_non_qualified_labour_non_agricultural: 1763, wage_qualified_labour: 1778",30.62%,82.57%,181.88%,6.59%,-40.42%,8.18%,0.65,0.86,"bread: 0.93, rice: 0.89, wheat: 0.93","exchange_rate: 1, fuel_diesel: 0.96, wage_non_qualified_labour_non_agricultural: 0.97, wage_qualified_labour: 0.98",0.92,"bread: cubist (Andree, 2021), rice: cubist (Andree, 2021), wheat: cubist (Andree, 2021)"
Burkina Faso,BFA,"Maize (White) (1 KG, Index Weight = 1), Millet (1 KG, Index Weight = 1), Sorghum (White) (1 KG, Index Weight = 1)",XOF,Jan 2007,Mar 2023,64,64,3,"maize: 6398, millet: 7370, sorghum: 6938",: ,55.02%,83.46%,225.11%,7.53%,-36.45%,13.99%,0.57,0.76,"maize: 0.83, millet: 0.82, sorghum: 0.8",: ,0.82,"maize: cubist (Andree, 2021), millet: cubist (Andree, 2021), sorghum: cubist (Andree, 2021)"
Burundi,BDI,"Bananas (1 KG, Index Weight = 1), Beans (1 KG, Index Weight = 1), Cassava Flour (1 KG, Index Weight = 1), Maize (White) (1 KG, Index Weight = 1), Maize Flour (1 KG, Index Weight = 1), Meat (Goat) (1 KG, Index Weight = 1), Onions (1 KG, Index Weight = 1), Sweet Potatoes (1 KG, Index Weight = 1), Rice (Low Quality, Local) (1 KG, Index Weight = 1), Tomatoes (1 KG, Index Weight = 1)",BIF,Jan 2007,Mar 2023,72,72,10,"rice: 5388, beans: 5599, maize: 5218, bananas: 5011, cassava_flour: 5593, maize_flour: 4776, meat_goat: 4750, onions: 5129, potatoes: 5605, tomatoes: 5089",: ,36.96%,83.12%,246.17%,7.94%,-38.45%,14.1%,0.64,0.78,"rice: 0.94, beans: 0.89, maize: 0.85, bananas: 0.86, cassava_flour: 0.87, maize_flour: 0.92, meat_goat: 0.96, onions: 0.79, potatoes: 0.82, tomatoes: 0.79",: ,0.88,"rice: cubist (Andree, 2021), beans: cubist (Andree, 2021), maize: cubist (Andree, 2021), bananas: two-stage cubist (Andree and Pape, 2023), cassava_flour: cubist (Andree, 2021), maize_flour: two-stage cubist (Andree and Pape, 2023), meat_goat: two-stage cubist (Andree and Pape, 2023), onions: two-stage cubist (Andree and Pape, 2023), potatoes: cubist (Andree, 2021), tomatoes: two-stage cubist (Andree and Pape, 2023)"
Cameroon,CMR,"Bananas (12 KG, Index Weight = 0.08), Cassava (Fresh) (5 KG, Index Weight = 0.2), Cocoyam (Macabo) (20 KG, Index Weight = 0.05), Fish (Mackerel, Fresh) (1 KG, Index Weight = 1), Maize (White) (1 KG, Index Weight = 1), Meat (Beef) (1 KG, Index Weight = 1), Oil (Palm) (1 L, Index Weight = 1), Plantains (12 KG, Index Weight = 0.08), Rice (Long Grain, Imported) (1 KG, Index Weight = 1), Wheat Flour (1 KG, Index Weight = 1)",XAF,Mar 2010,Mar 2023,82,82,10,"oil: 1420, rice: 1643, wheat_flour: 848, maize: 1176, bananas: 576, cassava: 576, cocoyam: 575, fish_mackerel: 1345, meat_beef: 1646, plantains: 576",: ,8.01%,30.38%,54.82%,3.4%,-4.95%,3.79%,0.62,0.45,"oil: 0.94, rice: 0.97, wheat_flour: 0.99, maize: 0.94, bananas: 0.96, cassava: 0.95, cocoyam: 0.98, fish_mackerel: 0.96, meat_beef: 0.98, plantains: 0.96",: ,0.96,"oil: two-stage cubist (Andree and Pape, 2023), rice: two-stage cubist (Andree and Pape, 2023), wheat_flour: two-stage cubist (Andree and Pape, 2023), maize: two-stage cubist (Andree and Pape, 2023), bananas: two-stage cubist (Andree and Pape, 2023), cassava: two-stage cubist (Andree and Pape, 2023), cocoyam: two-stage cubist (Andree and Pape, 2023), fish_mackerel: two-stage cubist (Andree and Pape, 2023), meat_beef: two-stage cubist (Andree and Pape, 2023), plantains: two-stage cubist (Andree and Pape, 2023)"
Central African Republic,CAF,"Cassava (Cossette) (1 KG, Index Weight = 1), Maize (1 KG, Index Weight = 1), Meat (Beef) (1 KG, Index Weight = 1), Oil (Palm) (1 L, Index Weight = 1), Rice (1 KG, Index Weight = 1), Sesame (1 KG, Index Weight = 1)",XAF,Jan 2007,Mar 2023,42,42,6,"oil: 1884, rice: 2060, maize: 1946, cassava: 2173, meat_beef: 2055, sesame: 1454",: ,23.43%,60.98%,28.47%,1.55%,-17.66%,7.3%,0.2,0.42,"oil: 0.87, rice: 0.82, maize: 0.9, cassava: 0.82, meat_beef: 0.93, sesame: 0.86",: ,0.87,"oil: two-stage cubist (Andree and Pape, 2023), rice: cubist (Andree, 2021), maize: two-stage cubist (Andree and Pape, 2023), cassava: cubist (Andree, 2021), meat_beef: two-stage cubist (Andree and Pape, 2023), sesame: two-stage cubist (Andree and Pape, 2023)"
Chad,TCD,"Maize (White) (1 KG, Index Weight = 1), Millet (1 KG, Index Weight = 1), Rice (Imported) (1 KG, Index Weight = 1), Sorghum (Red) (1 KG, Index Weight = 1)",XAF,Jan 2007,Feb 2023,62,62,4,"rice: 1543, maize: 2560, millet: 4147, sorghum: 3499",: ,24.17%,38.37%,49.39%,2.5%,-28.1%,9.77%,0.4,0.68,"rice: 0.92, maize: 0.87, millet: 0.75, sorghum: 0.72",: ,0.83,"rice: two-stage cubist (Andree and Pape, 2023), maize: two-stage cubist (Andree and Pape, 2023), millet: cubist (Andree, 2021), sorghum: cubist (Andree, 2021)"
"Congo, Dem. Rep.",COD,"Beans (1 KG, Index Weight = 1), Cassava (Cossette) (1 KG, Index Weight = 1), Cassava Flour (1 KG, Index Weight = 1), Fish (Fresh) (1 KG, Index Weight = 1), Fish (Salted) (1 KG, Index Weight = 1), Fish (Smoked) (1 KG, Index Weight = 1), Maize (1 KG, Index Weight = 1), Maize Meal (1 KG, Index Weight = 1), Meat (Beef) (1 KG, Index Weight = 1), Meat (Chicken) (1 KG, Index Weight = 1), Meat (Goat, With Bones) (1 KG, Index Weight = 1), Oil (Palm) (1 L, Index Weight = 1), Plantains (1 KG, Index Weight = 1), Rice (Local) (1 KG, Index Weight = 1), Salt (1 KG, Index Weight = 1), Sugar (1 KG, Index Weight = 1), Wheat Flour (1 KG, Index Weight = 1)",CDF,Jan 2007,Jan 2023,86,86,17,"oil: 3464, rice: 3029, salt: 2890, sugar: 2958, wheat_flour: 1831, beans: 3310, maize: 3159, cassava_flour: 3258, cassava: 2662, fish: 2661, meat_beef: 2391, meat_chicken: 1545, plantains: 2777, fish_smoked: 2444, fish_salted: 2503, maize_meal: 2869, meat_goat_with_bones: 2471",exchange_rate: 2977,16.13%,22.06%,194.76%,6.88%,-14.5%,7.19%,0.24,0.46,"oil: 0.8, rice: 0.92, salt: 0.91, sugar: 0.93, wheat_flour: 0.94, beans: 0.83, maize: 0.93, cassava_flour: 0.81, cassava: 0.93, fish: 0.94, meat_beef: 0.97, meat_chicken: 0.95, plantains: 0.91, fish_smoked: 0.95, fish_salted: 0.93, maize_meal: 0.93, meat_goat_with_bones: 0.96",exchange_rate: 0.97,0.92,"oil: cubist (Andree, 2021), rice: two-stage cubist (Andree and Pape, 2023), salt: two-stage cubist (Andree and Pape, 2023), sugar: two-stage cubist (Andree and Pape, 2023), wheat_flour: two-stage cubist (Andree and Pape, 2023), beans: cubist (Andree, 2021), maize: two-stage cubist (Andree and Pape, 2023), cassava_flour: cubist (Andree, 2021), cassava: two-stage cubist (Andree and Pape, 2023), fish: two-stage cubist (Andree and Pape, 2023), meat_beef: two-stage cubist (Andree and Pape, 2023), meat_chicken: two-stage cubist (Andree and Pape, 2023), plantains: two-stage cubist (Andree and Pape, 2023), fish_smoked: two-stage cubist (Andree and Pape, 2023), fish_salted: two-stage cubist (Andree and Pape, 2023), maize_meal: two-stage cubist (Andree and Pape, 2023), meat_goat_with_bones: two-stage cubist (Andree and Pape, 2023)"
"Congo, Rep.",COG,"Beans (White) (1 KG, Index Weight = 1), Cassava Flour (1 KG, Index Weight = 1), Oil (Vegetable) (1 L, Index Weight = 1), Rice (Mixed, Low Quality) (1 KG, Index Weight = 1)",XAF,Apr 2010,Apr 2022,13,13,4,"oil: 484, rice: 658, beans: 643, cassava_flour: 564",: ,28.59%,0%,23.69%,1.64%,-16.89%,9.73%,0.41,0.46,"oil: 0.79, rice: 0.85, beans: 0.84, cassava_flour: 0.75",: ,0.81,"oil: two-stage cubist (Andree and Pape, 2023), rice: cubist (Andree, 2021), beans: cubist (Andree, 2021), cassava_flour: two-stage cubist (Andree and Pape, 2023)"
"Gambia, The",GMB,"Apples (Red) (1 KG, Index Weight = 1), Bananas (1 KG, Index Weight = 1), Beans (Dry) (1 KG, Index Weight = 1), Bread (1 KG, Index Weight = 1), Cabbage (1 KG, Index Weight = 1), Carrots (1 KG, Index Weight = 1), Cassava (1 KG, Index Weight = 1), Coffee (Instant) (1 Unit, Index Weight = 1), Eggs (1 Unit, Index Weight = 1), Fish (Bonga) (1 KG, Index Weight = 1), Garlic (1 KG, Index Weight = 1), Groundnuts (Shelled) (1 KG, Index Weight = 1), Maize (1 KG, Index Weight = 1), Meat (Beef) (1 KG, Index Weight = 1), Meat (Chicken) (1 KG, Index Weight = 1), Milk (1 KG, Index Weight = 1), Millet (1 KG, Index Weight = 1), Oil (Vegetable) (1 L, Index Weight = 1), Onions (1 KG, Index Weight = 1), Oranges (Big Size) (1 KG, Index Weight = 1), Sweet Potatoes (1 KG, Index Weight = 1), Rice (Small Grain, Imported) (1 KG, Index Weight = 1), Salt (1 KG, Index Weight = 1), Sugar (1 KG, Index Weight = 1), Tea (1 Unit, Index Weight = 1), Tomatoes (1 KG, Index Weight = 1)",GMD,Jan 2007,Feb 2023,28,28,26,"bread: 1225, oil: 1511, rice: 3167, salt: 1498, sugar: 1509, beans: 1517, groundnuts: 2807, maize: 1388, millet: 2698, bananas: 1518, onions: 1509, potatoes: 1436, tomatoes: 1511, cassava: 1238, eggs: 1458, fish: 1478, garlic: 1443, meat_beef: 1478, meat_chicken: 1388, milk: 1484, apples: 1396, cabbage: 1508, carrots: 1532, coffee_instant: 974, oranges: 1275, tea: 1453","fuel_diesel: 1516, fuel_petrol_gasoline: 1496",29.01%,80.65%,153.17%,5.88%,-20.54%,6.8%,0.56,0.79,"bread: 0.92, oil: 0.94, rice: 0.91, salt: 0.96, sugar: 0.94, beans: 0.91, groundnuts: 0.87, maize: 0.92, millet: 0.84, bananas: 0.91, onions: 0.91, potatoes: 0.89, tomatoes: 0.87, cassava: 0.9, eggs: 0.97, fish: 0.88, garlic: 0.91, meat_beef: 0.97, meat_chicken: 0.93, milk: 0.89, apples: 0.95, cabbage: 0.85, carrots: 0.86, coffee_instant: 0.95, oranges: 0.91, tea: 0.96","fuel_diesel: 0.98, fuel_petrol_gasoline: 0.98",0.92,"bread: two-stage cubist (Andree and Pape, 2023), oil: two-stage cubist (Andree and Pape, 2023), rice: cubist (Andree, 2021), salt: two-stage cubist (Andree and Pape, 2023), sugar: two-stage cubist (Andree and Pape, 2023), beans: two-stage cubist (Andree and Pape, 2023), groundnuts: cubist (Andree, 2021), maize: two-stage cubist (Andree and Pape, 2023), millet: cubist (Andree, 2021), bananas: two-stage cubist (Andree and Pape, 2023), onions: two-stage cubist (Andree and Pape, 2023), potatoes: two-stage cubist (Andree and Pape, 2023), tomatoes: two-stage cubist (Andree and Pape, 2023), cassava: two-stage cubist (Andree and Pape, 2023), eggs: two-stage cubist (Andree and Pape, 2023), fish: two-stage cubist (Andree and Pape, 2023), garlic: two-stage cubist (Andree and Pape, 2023), meat_beef: two-stage cubist (Andree and Pape, 2023), meat_chicken: two-stage cubist (Andree and Pape, 2023), milk: two-stage cubist (Andree and Pape, 2023), apples: two-stage cubist (Andree and Pape, 2023), cabbage: two-stage cubist (Andree and Pape, 2023), carrots: two-stage cubist (Andree and Pape, 2023), coffee_instant: two-stage cubist (Andree and Pape, 2023), oranges: two-stage cubist (Andree and Pape, 2023), tea: two-stage cubist (Andree and Pape, 2023)"
Guinea-Bissau,GNB,"Maize (1 KG, Index Weight = 1), Millet (1 KG, Index Weight = 1), Oil (Palm) (1 L, Index Weight = 1), Rice (Imported) (1 KG, Index Weight = 1), Sorghum (1 KG, Index Weight = 1), Sugar (1 KG, Index Weight = 1)",XOF,Jun 2007,Feb 2023,45,45,6,"oil: 1552, rice: 1500, sugar: 1519, maize: 543, millet: 849, sorghum: 532",: ,12.27%,51.2%,17.78%,1.01%,-27.77%,10.73%,0.7,0.84,"oil: 0.91, rice: 0.93, sugar: 0.8, maize: 0.83, millet: 0.77, sorghum: 0.77",: ,0.85,"oil: cubist (Andree, 2021), rice: cubist (Andree, 2021), sugar: cubist (Andree, 2021), maize: cubist (Andree, 2021), millet: cubist (Andree, 2021), sorghum: cubist (Andree, 2021)"
Haiti,HTI,"Beans (Black) (1 Marmite, Index Weight = 0.37), Maize Meal (Local) (1 Marmite, Index Weight = 0.37), Oil (Vegetable, Imported) (1 Gallon, Index Weight = 0.26), Pasta (350 G, Index Weight = 2.86), Rice (Tchako) (1 Marmite, Index Weight = 0.37), Sorghum (1 Marmite, Index Weight = 0.37), Sugar (White) (1 Marmite, Index Weight = 0.37), Wheat Flour (Imported) (1 Marmite, Index Weight = 0.37)",HTG,Jan 2007,Jan 2023,9,9,8,"oil: 1022, rice: 1292, sugar: 723, wheat_flour: 1673, beans: 1121, sorghum: 665, pasta: 575, maize_meal: 1682",: ,62.03%,62.15%,866.44%,14.98%,-32.15%,12.6%,0.43,0.87,"oil: 0.97, rice: 0.92, sugar: 0.94, wheat_flour: 0.87, beans: 0.94, sorghum: 0.92, pasta: 0.97, maize_meal: 0.89",: ,0.91,"oil: two-stage cubist (Andree and Pape, 2023), rice: cubist (Andree, 2021), sugar: two-stage cubist (Andree and Pape, 2023), wheat_flour: cubist (Andree, 2021), beans: two-stage cubist (Andree and Pape, 2023), sorghum: two-stage cubist (Andree and Pape, 2023), pasta: two-stage cubist (Andree and Pape, 2023), maize_meal: cubist (Andree, 2021)"
Iraq,IRQ,"Beans (White) (1 KG, Index Weight = 1), Bread (Khoboz) (1 Unit, Index Weight = 1), Cheese (Local) (1 KG, Index Weight = 1), Dates (1 KG, Index Weight = 1), Eggs (1 Unit, Index Weight = 1), Fish (1 KG, Index Weight = 1), Lentils (1 KG, Index Weight = 1), Meat (Beef) (1 KG, Index Weight = 1), Meat (Chicken) (1 KG, Index Weight = 1), Milk (Powder) (1 KG, Index Weight = 1), Oil (Vegetable) (1 L, Index Weight = 1), Potatoes (1 KG, Index Weight = 1), Rice (1 KG, Index Weight = 1), Salt (Iodised) (1 KG, Index Weight = 1), Sugar (1 KG, Index Weight = 1), Tea (1 KG, Index Weight = 1), Tomatoes (1 KG, Index Weight = 1), Wheat Flour (1 KG, Index Weight = 1)",IQD,Mar 2011,Apr 2023,20,20,18,"bread: 2018, oil: 1509, rice: 2065, salt: 1208, sugar: 1823, wheat_flour: 2026, beans: 1236, potatoes: 1260, tomatoes: 1224, eggs: 1220, fish: 1186, meat_beef: 1214, meat_chicken: 1213, milk: 1186, dates: 1231, tea: 1205, cheese: 1193, lentils: 1200","fuel_petrol_gasoline: 1236, wage_non_qualified_labour: 1224, fuel_gas: 1191, fuel_kerosene: 1232",47.65%,88.47%,7.07%,0.56%,-11.25%,2.37%,0.17,0.43,"bread: 0.98, oil: 0.96, rice: 0.95, salt: 0.97, sugar: 0.95, wheat_flour: 0.94, beans: 0.97, potatoes: 0.94, tomatoes: 0.9, eggs: 0.98, fish: 0.95, meat_beef: 0.98, meat_chicken: 0.95, milk: 0.96, dates: 0.93, tea: 0.97, cheese: 0.97, lentils: 0.96","fuel_petrol_gasoline: 0.99, wage_non_qualified_labour: 0.99, fuel_gas: 0.99, fuel_kerosene: 0.97",0.96,"bread: cubist (Andree, 2021), oil: cubist (Andree, 2021), rice: cubist (Andree, 2021), salt: two-stage cubist (Andree and Pape, 2023), sugar: cubist (Andree, 2021), wheat_flour: cubist (Andree, 2021), beans: two-stage cubist (Andree and Pape, 2023), potatoes: two-stage cubist (Andree and Pape, 2023), tomatoes: two-stage cubist (Andree and Pape, 2023), eggs: two-stage cubist (Andree and Pape, 2023), fish: two-stage cubist (Andree and Pape, 2023), meat_beef: two-stage cubist (Andree and Pape, 2023), meat_chicken: two-stage cubist (Andree and Pape, 2023), milk: two-stage cubist (Andree and Pape, 2023), dates: two-stage cubist (Andree and Pape, 2023), tea: two-stage cubist (Andree and Pape, 2023), cheese: two-stage cubist (Andree and Pape, 2023), lentils: two-stage cubist (Andree and Pape, 2023)"
